#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
Query handling: in what order do filter, sort and paginate go, and why?	<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">let result = products.filter(...);              // 1. narrow<br>result = result.toSorted((a,b) =&gt; ...);         // 2. order<br>return result.slice(offset, offset + limit);    // 3. page</pre><p style="text-align:left"><b>Bug to spot:</b> paginating <i>before</i> filtering — you slice 10 rows out of the full set and then filter, so the page comes back short or empty.</p>	m4 query
What is wrong with <code>result.slice(offset, limit)</code> for pagination?	<p style="text-align:left"><code>slice</code>'s second argument is an <b>end index</b>, not a count. <code>slice(20, 10)</code> returns <code>[]</code>.</p><p style="text-align:left"><b>Fix:</b> <code>slice(offset, offset + limit)</code></p>	m4 query arrays
Why does this break on <code>?limit=</code>?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">const { limit = 10 } = req.query;<br>const n = parseInt(limit, 10);</pre>	<p style="text-align:left">A destructuring default applies <b>only when the value is <code>undefined</code></b>. <code>?limit=</code> gives the empty string <code>""</code>, which is not <code>undefined</code>, so <code>limit</code> is <code>""</code> and <code>parseInt("")</code> is <code>NaN</code>.</p>	m4 query falsy
Sorting comparators — what does each line do?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">arr.sort();<br>arr.sort((a, b) =&gt; a.price - b.price);<br>arr.sort((a, b) =&gt; a.name.localeCompare(b.name));<br>arr.sort((a, b) =&gt; a.name - b.name);</pre>	<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">1. lexicographic on stringified values: [1, 10, 2, 20]<br>2. numeric ascending — correct<br>3. strings — correct<br>4. BUG: string minus string is NaN, order unchanged</pre><p style="text-align:left"><code>.sort()</code> <b>mutates</b>; <code>.toSorted()</code> returns a new array. Sorting a shared repository array in place silently reorders the stored data.</p>	m4 arrays
What is wrong with this POST handler?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">app.post(&#x27;/api/products&#x27;, (req, res) =&gt; {<br>  products.push(product);<br>  res.json(product);<br>});</pre>	<p style="text-align:left">It returns <b>200</b>; a POST that creates a resource must return <b>201 Created</b>, and the body should be the created resource <i>including its server-assigned id</i>.</p><p style="text-align:left"><b>Fix:</b> <code>res.status(201).json(product);</code></p>	m4 rest http
Why is this id generation a bug, and what are the fixes?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">const id = products.length + 1;</pre>	<p style="text-align:left">It <b>collides after any delete</b>. Delete the last of 3 items and the next insert reuses id 3.</p><p style="text-align:left"><b>Fixes:</b> a monotonic counter (<code>let nextId = 1; ... id: nextId++</code>), or <code>Math.max(...products.map(p =&gt; p.id)) + 1</code> — the latter guarded for the empty array, since <code>Math.max()</code> of nothing is <code>-Infinity</code>.</p>	m4 rest
A short-answer question shows broken code. What three parts does a full-credit answer have?	<p style="text-align:left">1. <b>Name the defect</b> — "<code>.map()</code> returns a new array; the original is unchanged"</p><p style="text-align:left">2. <b>Say what happens at runtime</b> — "<code>prices</code> still holds the old values, so the response is wrong"</p><p style="text-align:left">3. <b>Give the fix</b> — the corrected line, written out</p>	exam strategy
<code>req.params.id</code> is what type, and what must you do with it?	A <b>string</b>. Array ids are numbers, so cast: <code>parseInt(req.params.id, 10)</code>.	recall m3
Missing <code>app.use(express.json())</code> causes what?	<code>req.body</code> is <code>undefined</code>; destructuring it throws <code>TypeError</code>.	recall m3
Missing <code>return</code> before <code>res.status(404)...</code> causes what?	<code>ERR_HTTP_HEADERS_SENT</code> — two responses from one handler.	recall m3
An Express error handler is recognized by what?	Having exactly <b>four</b> parameters: <code>(err, req, res, next)</code>.	recall m3
Every middleware must do exactly one of what two things?	Call <code>next()</code>, <b>or</b> send a response. Never both, never neither.	recall m3
<code>findIndex</code> returns what when nothing matches, and why is that dangerous?	<code>-1</code>, which is <b>truthy</b> — so <code>if (!index)</code> is always wrong. Compare <code>=== -1</code>.	recall m1 falsy
Missing <code>await</code> gives you what?	A <b>pending Promise object</b>, not the value.	recall m2
POST returns what status? DELETE?	POST &rarr; <b>201 Created</b>. DELETE &rarr; <b>204 No Content</b> with an empty body (or 200 with the deleted object).	recall m4
Query booleans: how do you test <code>?inStock=true</code>?	Compare to the <b>string</b>: <code>req.query.inStock === 'true'</code>. Never <code>Boolean(v)</code> — <code>Boolean("false")</code> is <code>true</code>.	recall m4 falsy
Which two layers must never see <code>req</code> or <code>res</code>?	The <b>service</b> and the <b>repository</b>.	recall m4 layers
